name,surname,patronymic,phone,status
Иосифович,Леонтий,Комаров,8 519 462 1887,занят
Марина,Калинина,Леонидовна,8 436 555 4503,свободен
Геннадиевна,Людмила,Фомина,8 (433) 937-0769,свободен
Константиновна,Екатерина,Козлова,8 (327) 520-33-65,занят
Лидия,Лобанова,Рубеновна,+7 194 229 17 79,свободен
Михаил,Буров,Антипович,+7 428 032 8539,свободен
Георгиевич,Ратибор,Сергеев,+7 (423) 414-2298,свободен
Татьяна,Панфилова,Григорьевна,+7 175 885 20 85,занят
Тимур,Жданов,Евсеевич,+7 (851) 037-9815,свободен
Светлана,Анисимова,Семеновна,+7 (416) 060-2563,занят
Таисия,Карпова,Кирилловна,8 (643) 610-73-32,в пути
Зиновьевич,Евстигней,Козлов,8 (933) 318-4075,в пути
Эдгардович,Самуил,Ермаков,+7 (534) 031-3831,свободен
Егоровна,Вера,Юдина,8 (893) 486-5152,свободен
Алла,Чернова,Альбертовна,+7 632 267 1760,в пути
Христофор,Елисеев,Ильич,8 (464) 332-60-30,в пути
Андреевич,Поликарп,Самойлов,8 520 780 9162,свободен
Феофан,Андреев,Тарасович,+7 (562) 249-5033,в пути
Руслан,Суханов,Авдеевич,+72780139385,свободен
Жанович,Виталий,Ларионов,+7 (296) 797-42-45,свободен
Гаврилович,Ладислав,Блинов,+7 133 798 2956,занят
Вениаминовна,Регина,Князева,+74247991448,свободен
Евстигней,Щербаков,Фокич,8 037 573 9351,занят
Флорентин,Устинов,Елизарович,8 (273) 177-1884,в пути
Аксенов,тов.,Ювеналий,+7 951 557 18 52,занят
Викторовна,Ираида,Потапова,81642983525,свободен
Анна,Зыкова,Геннадиевна,+75128835211,в пути
Радован,Захаров,Валерьянович,+74902189757,свободен
Платон,Трофимов,Елисеевич,+7 775 019 20 21,свободен
Любовь,Федосеева,Кузьминична,+7 008 120 7631,свободен
Ждановна,Лидия,Рябова,87411059153,занят
Ювеналий,Коновалов,Измаилович,8 (684) 093-77-91,в пути
Вацлав,Веселов,Глебович,8 (114) 047-09-60,занят
Оскаровна,Антонина,Сидорова,+78677484594,в пути
Брониславович,Иларион,Куликов,+7 (820) 321-1958,занят
Болеславовна,Евгения,Зиновьева,+71117389708,свободен
Станиславовна,София,Логинова,8 (953) 091-5892,занят
Фадей,Воронов,Ярославович,+7 (938) 062-6602,в пути
